HG2412_PATCH	NW_019805502.1
ML143361.1	NW_021160007.1
HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	chr19_KI270918v1_alt
NT_187642.1	chr19_KI270888v1_alt
KI270425.1	chrUn_KI270425v1
MT	NC_012920.1
ML143380.1	chr22_ML143380v1_fix
HG2069_PATCH	MU273348.1
GL000252.2	HSCHR6_MHC_DBB_CTG1
KI270807.1	chr7_KI270807v1_alt
KI270820.1	NT_187575.1
GL000255.2	chr6_GL000255v2_alt
NT_187448.1	chrUn_KI270580v1
ML143382.1	chrX_ML143382v1_fix
JH159137.1	NW_003871074.1
KI270781.1	chr3_KI270781v1_alt
NW_018654713.1	chr6_KZ208911v1_fix
NT_187385.1	chr17_KI270730v1_random
NW_003315922.2	chr7_GL383534v2_alt
KI270748.1	NT_187503.1
KI270539.1	NT_187442.1
NT_187539.1	chr3_KI270784v1_alt
KI270855.1	chr16_KI270855v1_alt
HSCHR7_2_CTG7	KI270807.1
GL949746.1	NW_003571054.1
NT_187423.1	chrUn_KI270467v1
NT_187368.1	chr1_KI270713v1_random
KI270735.1	chr22_KI270735v1_random
HG2264_PATCH	NW_025791769.1
KI270381.1	chrUn_KI270381v1
HSCHR19KIR_CA01-TA01_1_CTG3_1	chr19_KV575247v1_alt
GL000255.2	NT_167248.2
HSCHR8_3_CTG1	chr8_KI270813v1_alt
KI270580.1	NT_187448.1
KI270815.1	NT_187569.1
GL000078.1	NT_086755.3
GJ211907.1	KI270368.1
HG2265_PATCH	MU273391.1
KI270431.1	NT_187225.1
NT_187664.1	chr17_KI270910v1_alt
GL383555.2	chr15_GL383555v2_alt
GL383579.2	NW_003315968.2
KQ090017.1	NW_013171803.1
11	chr11
NT_187630.1	chr22_KI270876v1_alt
NW_021160000.1	chr10_ML143354v1_fix
KI270867.1	NT_187620.1
KV575259.1	NW_016107313.1
MU273335.1	chr1_MU273335v1_fix
HSCHR3_5_CTG1	ML143343.1
NC_000015.10	chr15
KI270313.1	NT_187196.1
20	chr20
KI270860.1	NT_187612.1
HSCHR17_3_CTG2	chr17_KI270910v1_alt
KI270363.1	NT_187467.1
HSCHR9_1_CTG1	NW_003315928.1
KI270850.1	chr15_KI270850v1_alt
KZ208906.1	chr1_KZ208906v1_fix
HSCHR12_9_CTG2_1	chr12_KZ559112v1_alt
KI270511.1	NT_187435.1
NT_187618.1	chr18_KI270864v1_alt
MU273347.1	NW_025791770.1
HSCHR16_CTG2	chr16_KI270854v1_alt
HSCHR19_2_CTG3_1	KI270866.1
HSCHR4_1_CTG4	KI270790.1
HSCHR8_4_CTG1	NT_187572.1
KI270845.1	chr14_KI270845v1_alt
HSCHR2_6_CTG1	chr2_MU273340v1_alt
GJ212069.1	KI270549.1
NT_187661.1	chr17_KI270909v1_alt
NT_187568.1	chr8_KI270812v1_alt
HSCHR7_3_CTG1	NW_019805493.1
NW_009646205.1	chr13_KN196483v1_fix
HSCHR3_3_CTG1	chr3_KI270783v1_alt
HSCHR1_3_CTG32_1	NT_187519.1
HG1342_HG2282_PATCH	NW_012132914.1
HSCHR11_1_CTG3_1	KZ559111.1
GL000125.2	NT_024773.12
GL000057.2	NT_023603.6
HG613_PATCH	ML143353.1
HG708_PATCH	KZ208912.1
KI270798.1	NT_187553.1
HSCHR22_2_CTG1	chr22_KB663609v1_alt
5	CM000667.2
KI866540.1	NT_187331.1
KI270777.1	NT_187533.1
HSCHR10_1_CTG4	KI270825.1
HSCHR2_11_CTG7_2	MU273338.1
KI270741.1	chrUn_KI270741v1
HSCHR12_2_CTG2_1	NW_003315941.1
HSCHR19KIR_FH15_B_HAP_CTG3_1	chr19_KI270882v1_alt
GL383520.2	HSCHR1_3_CTG31
CM000679.2	chr17
HSCHR22_1_CTG3	KI270875.1
NW_025791808.1	chr19_MU273385v1_fix
KI270364.1	chrUn_KI270364v1
HG2365_PATCH	ML143371.1
KI270403.1	NT_187210.1
HSCHR17_1_CTG5	chr17_GL000258v2_alt
KI270806.1	chr7_KI270806v1_alt
HG2308_PATCH	chr5_MU273355v1_fix
CM000679.2	NC_000017.11
MU273369.1	chr11_MU273369v1_fix
GL383570.1	NW_003315959.1
HSCHR15_5_CTG8	KI270850.1
HSCHR8_9_CTG1	KI270822.1
10	NC_000010.11
GL000258.2	NT_167251.2
KQ983255.1	NW_015495298.1
KI270382.1	chrUn_KI270382v1
GL383534.2	HSCHR7_1_CTG6
HG2118_PATCH	chr17_MU273379v1_fix
HSCHR22_8_CTG1	KQ759761.1
HSCHR5_7_CTG1	chr5_KN196477v1_alt
CM000665.2	chr3
NT_187373.1	chr9_KI270718v1_random
NW_003315960.1	chr18_GL383571v1_alt
HG2577_PATCH	chr1_MU273336v1_fix
KI270523.1	NT_187259.1
HG2246_HG2248_HG2276_PATCH	chr12_ML143361v1_fix
MU273331.1	chr1_MU273331v1_alt
NW_003315966.2	chr20_GL383577v2_alt
KI270595.1	NT_187296.1
HG1277_PATCH	NW_021160001.1
NW_017852929.1	chr7_KV880764v1_fix
GL000224.1	chrUn_GL000224v1
NT_187425.1	chrUn_KI270438v1
NT_187652.1	chr5_KI270898v1_alt
NW_011332699.1	chr13_KN538372v1_fix
KV575252.1	chr19_KV575252v1_alt
NW_025791755.1	chr1_MU273332v1_alt
KN196483.1	NW_009646205.1
NT_187481.1	chrUn_KI270391v1
KI270896.1	NT_187650.1
NT_187362.1	chr1_KI270707v1_random
16	chr16
GJ211883.1	NT_187187.1
GL000186.2	NT_011875.13
8	CM000670.2
HG2476_PATCH	MU273353.1
HSCHR11_1_CTG5	NT_187583.1
GL000243.1	NT_167237.1
NT_187502.1	chrUn_KI270747v1
NT_187508.1	chrUn_KI270753v1
GL383563.3	HSCHR17_1_CTG1
GJ211857.1	KI270321.1
NT_187592.1	chr13_KI270838v1_alt
KV575254.1	chr19_KV575254v1_alt
KI270393.1	NT_187483.1
KI270550.1	NT_187279.1
KI270739.1	chr22_KI270739v1_random
HG2155_PATCH	NW_025791773.1
NT_187421.1	chrUn_KI270466v1
NT_187659.1	chr15_KI270906v1_alt
HSCHR12_7_CTG2_1	chr12_KI270836v1_alt
ML143347.1	NW_021159993.1
NW_019805490.1	chr3_KZ559103v1_alt
NT_187627.1	chr21_KI270873v1_alt
KI270864.1	NT_187618.1
KI270830.1	chr11_KI270830v1_alt
KI270513.1	NT_187256.1
HSCHR6_1_CTG6	NT_187554.1
KI270913.1	NT_187667.1
HSCHR2_3_CTG15	chr2_KI270776v1_alt
HSCHR1_6_CTG31	NW_025791755.1
NW_013171811.1	chr13_KQ090025v1_alt
GJ212202.1	KI866532.1
HG2067_PATCH	KV880766.1
HSCHR1_1_CTG31	chr1_GL383518v1_alt
HG2198_PATCH	NW_021160016.1
NW_021159988.1	chr2_ML143342v1_fix
NW_025791817.1	chrX_MU273394v1_fix
GL000184.2	NT_087001.2
HG2275_PATCH	chr2_MU273342v1_fix
KI270757.1	NT_187512.1
2	chr2
HSCHR1_5_CTG31	chr1_MU273331v1_alt
ML143354.1	chr10_ML143354v1_fix
KI270804.1	chr7_KI270804v1_alt
GL383547.1	HSCHR11_1_CTG1_1
KI270721.1	chr11_KI270721v1_random
KI270725.1	chr14_KI270725v1_random
HG2216_PATCH	KN196483.1
NC_012920.1	chrM
HSCHR19KIR_HG2396_CTG3_1	KV575260.1
NW_025791772.1	chr4_MU273349v1_alt
GJ212208.1	NT_187351.1
HSCHR4_1_CTG8_1	KI270787.1
KI270844.1	NT_187598.1
NT_187684.1	chr19_KI270930v1_alt
6	CM000668.2
MU273358.1	NW_025791781.1
GL949748.2	chr19_GL949748v2_alt
KN196480.1	NW_009646202.1
NW_025791795.1	chr12_MU273372v1_fix
KI270896.1	chr4_KI270896v1_alt
HSCHR20_1_CTG3	NT_187624.1
HSCHR17_1_CTG4	NW_003315953.2
HSCHR17_2_CTG5	KI270908.1
MU273352.1	NW_025791775.1
GJ212167.2	KI270675.1
HSCHR5_3_CTG1_1	NW_003315918.1
NW_021160025.1	chr22_ML143379v1_fix
KI270327.1	NT_187180.1
HSCHR16_4_CTG1	KI270856.1
GJ211930.1	KI270408.1
GJ212045.1	KI270523.1
GL339449.2	NW_003315917.2
KQ458388.1	NW_014040931.1
HG1362_PATCH	NW_011332696.1
MU273395.1	NW_025791818.1
KI270396.1	chrUn_KI270396v1
KI270853.1	NT_187607.1
CM000677.2	NC_000015.10
HSCHR18_4_CTG1_1	chr18_KI270864v1_alt
KI270808.1	NT_187564.1
GJ212210.1	NT_187252.1
HSCHR19KIR_ABC08_A1_HAP_CTG3_1	KI270917.1
HSCHR5_2_CTG5	NT_187546.1
KI270738.1	chr22_KI270738v1_random
MU273387.1	NW_025791810.1
KI270775.1	chr2_KI270775v1_alt
KI270759.1	chr1_KI270759v1_alt
HSCHR19KIR_G248_A_HAP_CTG3_1	chr19_KI270885v1_alt
NW_013171807.1	chr10_KQ090021v1_fix
KZ559100.1	NW_019805487.1
KI270817.1	chr8_KI270817v1_alt
NT_187665.1	chr18_KI270912v1_alt
ML143375.1	NW_021160021.1
NT_187494.1	chrUn_KI270371v1
GJ212192.1	NT_187359.1
HG1531_PATCH	NW_018654725.1
KV575252.1	NW_016107306.1
KQ090021.1	NW_013171807.1
KQ031383.1	chr1_KQ031383v1_fix
HSCHR19KIR_0010-5217-AB_CTG3_1	NW_016107308.1
NT_187628.1	chr21_KI270874v1_alt
KI270379.1	NT_187472.1
MU273363.1	chr8_MU273363v1_fix
KZ208904.1	chr1_KZ208904v1_alt
KI270604.1	NT_187305.1
HSCHR3_3_CTG2_1	NT_187536.1
NT_167218.1	chrUn_GL000224v1
KI270372.1	chrUn_KI270372v1
HSCHR11_1_CTG2	chr11_KI270826v1_alt
HG2266_PATCH	NW_017852930.1
HG2291_PATCH	NW_011332699.1
GL383534.2	NW_003315922.2
11	NC_000011.10
HG2002_PATCH	NW_018654708.1
ML143359.1	NW_021160005.1
HSCHR19KIR_FH08_A_HAP_CTG3_1	chr19_KI270929v1_alt
HG26_PATCH	KQ458386.1
ML143362.1	chr12_ML143362v1_fix
HSCHR15_5_CTG8	chr15_KI270850v1_alt
GJ212107.1	NT_187294.1
ML143378.1	chr22_ML143378v1_fix
NT_187468.1	chrUn_KI270364v1
NT_187520.1	chr1_KI270765v1_alt
NT_167251.2	chr17_GL000258v2_alt
GL000016.2	NT_004487.20
HSCHR11_1_CTG8	chr11_KI270832v1_alt
GL383573.1	HSCHR19_1_CTG2
NT_187414.1	chrUn_KI270424v1
NT_187654.1	chr8_KI270900v1_alt
HSCHR15_3_CTG8	NT_187605.1
HSCHR12_1_CTG2_1	chr12_GL383550v2_alt
HG721_PATCH	chr2_ML143341v1_fix
GL383582.2	NW_003315971.2
NW_021160028.1	chrX_ML143382v1_fix
HSCHR2_12_CTG7_2	MU273339.1
3	CM000665.2
ML143366.1	chr13_ML143366v1_fix
HG926_PATCH	NW_017852933.1
HG2280_PATCH	chr15_MU273374v1_fix
GJ211972.2	NT_187235.1
HSCHR19KIR_FH06_A_HAP_CTG3_1	chr19_KI270922v1_alt
NT_187616.1	chr17_KI270859v1_alt
GL383539.1	NW_003315928.1
HSCHR19KIR_G085_BA1_HAP_CTG3_1	chr19_KI270884v1_alt
GL000233.2	NT_167227.2
KI270612.1	NT_187313.1
NW_018654725.1	chrY_KZ208923v1_fix
NW_009646208.1	chr22_KN196486v1_alt
NW_003571059.2	chr19_GL949751v2_alt
HSCHRX_3_CTG3	chrX_MU273397v1_alt
MU273342.1	NW_025791765.1
GL000146.1	NT_113954.1
HSCHR6_1_CTG3	KB021644.2
GJ212203.1	NT_187193.1
KI270927.1	NT_187681.1
GL877875.1	HSCHR12_1_CTG1
KI270371.1	chrUn_KI270371v1
NW_025791791.1	chr11_MU273368v1_alt
KI270879.1	NT_187633.1
KI270530.1	NT_187441.1
KI270510.1	chrUn_KI270510v1
KV766193.1	chr4_KV766193v1_alt
NT_187593.1	chr13_KI270839v1_alt
NW_013171812.1	chr16_KQ090026v1_alt
MU273383.1	NW_025791806.1
KI270315.1	chrUn_KI270315v1
HSCHR21_8_CTG1_1	chr21_KI270874v1_alt
HSCHR11_1_CTG6	NT_187584.1
GL383527.1	NW_003315914.1
KV880764.1	NW_017852929.1
MU273330.1	chr1_MU273330v1_alt
HSCHR1_5_CTG3	KQ983255.1
NT_187636.1	chr19_KI270882v1_alt
ML143369.1	NW_021160015.1
KI270765.1	NT_187520.1
NW_003871074.1	chr11_JH159137v1_alt
HSCHR1_3_CTG31	chr1_GL383520v2_alt
KQ090022.1	chr11_KQ090022v1_fix
HG2114_PATCH	NW_019805496.1
KI270330.1	NT_187458.1
HSCHR6_MHC_MANN_CTG1	chr6_GL000253v2_alt
NW_003571061.2	chr19_GL949753v2_alt
GL383577.2	HSCHR20_1_CTG1
HSCHR6_1_CTG5	KI270798.1
KQ759762.2	chr22_KQ759762v2_fix
KQ983257.1	chr4_KQ983257v1_fix
HG1298_PATCH	NW_021159993.1
HG126_PATCH	chr3_KN538364v1_fix
GJ212054.1	KI270534.1
GJ212051.1	KI270531.1
HSCHR21_5_CTG2	KI270872.1
HSCHR12_2_CTG2	chr12_GL877876v1_alt
KQ090014.1	NW_013171800.1
CM000686.2	Y
HSCHR15_6_CTG8	chr15_KQ031389v1_alt
HSCHR12_5_CTG2_1	chr12_KI270833v1_alt
HSCHR19KIR_FH05_B_HAP_CTG3_1	chr19_KI270921v1_alt
HG23_PATCH	NW_009646204.1
HSCHR3_1_CTG3	NT_187532.1
HSCHR19KIR_502960008-2_CTG3_1	NW_016107306.1
KV575243.1	NW_016107297.1
KI270881.1	NT_187635.1
HG1506_PATCH	chrX_ML143382v1_fix
KI270373.1	chrUn_KI270373v1
HSCHR18_1_CTG1	chr18_KZ559116v1_alt
HSCHR7_3_CTG6	NT_187564.1
NW_025791780.1	chr6_MU273357v1_alt
ML143385.1	chrX_ML143385v1_fix
NC_000021.9	chr21
HSCHR17_3_CTG4	NW_003315955.1
HSCHR2_1_CTG7_2	NW_003315909.1
HG2576_PATCH	MU273367.1
HSCHR22_5_CTG1	KN196486.1
KI270584.1	chrUn_KI270584v1
HSCHR21_6_CTG1_1	chr21_KI270873v1_alt
KI270538.1	NT_187443.1
GL383583.2	chr22_GL383583v2_alt
MU273362.1	NW_025791785.1
NT_187517.1	chr1_KI270766v1_alt
HSCHR19KIR_G085_BA1_HAP_CTG3_1	NT_187638.1
NT_187595.1	chr13_KI270841v1_alt
KI270446.1	NT_187233.1
KI270670.1	NT_187343.1
HG2285_HG106_HG2252_PATCH	KV766196.1
KI270879.1	chr22_KI270879v1_alt
HG401_PATCH	chr16_MU273376v1_fix
MU273366.1	NW_025791789.1
HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	chr19_KI270919v1_alt
NT_187501.1	chrUn_KI270746v1
22	CM000684.2
GL000009.2	chr14_GL000009v2_random
NT_187484.1	chrUn_KI270384v1
NT_167220.1	chrUn_GL000226v1
HG460_PATCH	NW_019805487.1
NT_187426.1	chrUn_KI270468v1
MU273341.1	NW_025791764.1
NW_021159996.1	chr5_ML143350v1_fix
HSCHR19KIR_FH15_B_HAP_CTG3_1	KI270882.1
HSCHR4_1_CTG12	chr4_GL383527v1_alt
KI270426.1	NT_187221.1
HSCHR14_8_CTG1	KZ208919.1
GL383532.1	NW_003315920.1
ML143376.1	chr19_ML143376v1_fix
HG1277_PATCH	chr10_ML143355v1_fix
ML143347.1	chr4_ML143347v1_fix
HG142_HG150_NOVEL_TEST	NW_003871073.1
KZ208919.1	chr14_KZ208919v1_alt
KI270907.1	chr17_KI270907v1_alt
HG2191_PATCH	NW_009646202.1
KN196473.1	NW_009646195.1
KI270796.1	chr5_KI270796v1_alt
KN196474.1	chr1_KN196474v1_fix
NT_187500.1	chrUn_KI270745v1
HG2158_PATCH	MU273364.1
HSCHR8_5_CTG7	NT_187574.1
HG1343_HG173_HG459_PATCH	NW_025791756.1
HSCHR15_1_CTG8	NW_003315943.1
KI270467.1	NT_187423.1
GJ212117.1	KI270596.1
HSCHR19KIR_RP5_B_HAP_CTG3_1	NT_113949.2
MU273382.1	NW_025791805.1
NW_018654724.1	chr18_KZ208922v1_fix
NT_167213.1	chrUn_GL000219v1
HSCHR19LRC_PGF2_CTG3_1	NW_003571061.2
KI270709.1	NT_187364.1
GL383555.2	HSCHR15_2_CTG8
KI270735.1	NT_187390.1
HG2461_PATCH	MU273384.1
HSCHR17_10_CTG4	KI270909.1
KI270838.1	chr13_KI270838v1_alt
HSCHR3_2_CTG2_1	chr3_KI270777v1_alt
HSCHR19KIR_RSH_A_HAP_CTG3_1	NT_187645.1
KI270872.1	NT_187626.1
HSCHR15_3_CTG8	chr15_KI270849v1_alt
ML143356.1	chr11_ML143356v1_fix
KI270579.1	chrUn_KI270579v1
KI270770.1	NT_187525.1
GJ212172.2	KI270680.1
HSCHR10_1_CTG2	chr10_GL383546v1_alt
HSCHR21_3_CTG1_1	chr21_GL383580v2_alt
NW_011332693.1	chr10_KN538366v1_fix
KI270369.1	NT_187200.1
NW_003315953.2	chr17_GL383564v2_alt
NT_187693.1	chr19_KI270938v1_alt
ML143369.1	chr15_ML143369v1_fix
HSCHR15_1_CTG3	NT_187603.1
GL000218.1	chrUn_GL000218v1
HG2334_PATCH	KQ090021.1
NT_187558.1	chr7_KI270804v1_alt
NW_004504305.1	chr22_KB663609v1_alt
KI270869.1	chr20_KI270869v1_alt
NW_018654715.1	chr7_KZ208913v1_alt
NT_187392.1	chr22_KI270737v1_random
HSCHR2_4_CTG7_2	KI270771.1
KI866538.1	NT_187285.1
GJ212117.1	NT_187297.1
KI270378.1	NT_187471.1
HG2047_PATCH	chr12_KZ208917v1_fix
KI270924.1	NT_187678.1
GL383550.2	NW_003315939.2
HG2236_PATCH	chr3_KV766192v1_fix
HSCHR19KIR_FH13_BA2_HAP_CTG3_1	NT_187686.1
NT_187365.1	chr1_KI270710v1_random
HSCHR14_7_CTG1	chr14_KI270847v1_alt
KI270619.1	NT_187320.1
NW_021159989.1	chr3_ML143343v1_alt
HSCHR5_1_CTG1	chr5_GL383532v1_alt
HG2233_PATCH	KN538362.1
HSCHR7_1_CTG1	KI270804.1
GL000107.2	NT_029419.13
GL949747.2	HSCHR19LRC_COX2_CTG3_1
GL383541.1	chr9_GL383541v1_alt
HG613_PATCH	NW_021159999.1
HSCHR21_6_CTG1_1	KI270873.1
KQ031390.1	NW_012132921.1
KI270930.1	NT_187684.1
KQ983257.1	NW_015495300.1
GL000253.2	chr6_GL000253v2_alt
MU273367.1	chr10_MU273367v1_fix
NW_011332691.1	chr3_KN538364v1_fix
KI866537.1	NT_187253.1
HSCHR19KIR_CA04_CTG3_1	chr19_KV575257v1_alt
MU273397.1	chrX_MU273397v1_alt
KI270405.1	NT_187212.1
KI270903.1	NT_187657.1
KI270797.1	chr6_KI270797v1_alt
KN196476.1	chr3_KN196476v1_fix
KV766194.1	NW_017363815.1
HG2022_PATCH	KN196476.1
HG1531_PATCH	chrY_KZ208923v1_fix
HSCHR19LRC_COX2_CTG3_1	chr19_GL949747v2_alt
KI270651.1	NT_187332.1
HSCHR1_4_CTG3	KQ458383.1
NC_000020.11	chr20
NW_009646194.1	chr1_KN196472v1_fix
7	chr7
HG2233_PATCH	NW_011332689.1
MU273393.1	NW_025791816.1
HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	NT_187644.1
CM000674.2	chr12
NW_021160018.1	chr15_ML143372v1_fix
NT_187433.1	chrUn_KI270519v1
GL000170.2	NT_028405.13
MU273359.1	NW_025791782.1
GJ212169.2	KI270677.1
HSCHR4_12_CTG12	chr4_KV766193v1_alt
GJ212163.2	KI270671.1
HG1046_PATCH	chr5_MU273352v1_fix
NW_003315965.1	chr19_GL383576v1_alt
KZ559112.1	chr12_KZ559112v1_alt
NT_187570.1	chr8_KI270813v1_alt
9	CM000671.2
KI270366.1	NT_187470.1
HG2030_PATCH	KN196479.1
HSCHR6_8_CTG1	KI270758.1
HSCHR1_5_CTG3	NW_015495298.1
HSCHR8_3_CTG1	NT_187570.1
HSCHR19KIR_HG2393_CTG3_1	NW_016107312.1
NT_187675.1	chr19_KI270921v1_alt
KI270841.1	chr13_KI270841v1_alt
NT_187479.1	chrUn_KI270394v1
HG2512_PATCH	NW_021160026.1
HSCHR3_7_CTG3	NT_187690.1
NT_167247.2	chr6_GL000254v2_alt
KI270821.1	NT_187576.1
NT_187497.1	chrUn_KI270741v1
HG1651_PATCH	NW_012132918.1
HG2052_PATCH	MU273343.1
HG2231_HG2496_PATCH	MU273344.1
NW_021160013.1	chr14_ML143367v1_fix
KI270421.1	NT_187220.1
HSCHR11_1_CTG3	chr11_KI270827v1_alt
GJ211972.2	KI270450.1
NW_003571049.1	chr12_GL877875v1_alt
HSCHR22_1_CTG6	chr22_KI270878v1_alt
GJ212062.1	NT_187273.1
NW_025791803.1	chr17_MU273380v1_fix
GJ211884.1	KI270345.1
GL000115.2	NT_024498.13
MU273378.1	NW_025791801.1
HSCHR15_1_CTG3	KI270848.1
HSCHR4_5_CTG12	NT_187545.1
HG2365_PATCH	chr15_ML143371v1_fix
KI270395.1	NT_187476.1
NW_025791757.1	chr1_MU273334v1_fix
HSCHR1_1_CTG11	NT_187514.1
HSCHR1_12_CTG3	chr1_MU273330v1_alt
KI270925.1	NT_187679.1
HG1523_PATCH	NW_021160010.1
HG2580_PATCH	chr17_MU273383v1_fix
HSCHR19KIR_LUCE_A_HAP_CTG3_1	NT_187643.1
GL383518.1	chr1_GL383518v1_alt
HSCHR4_9_CTG12	chr4_KQ090015v1_alt
NT_187605.1	chr15_KI270849v1_alt
HG460_PATCH	KZ559100.1
NT_187649.1	chr3_KI270895v1_alt
NW_003315945.1	chr16_GL383556v1_alt
HG1012_PATCH	NW_025791788.1
KI270734.1	chr22_KI270734v1_random
NT_187583.1	chr11_KI270829v1_alt
KI270722.1	NT_187377.1
HSCHR8_7_CTG7	KZ559107.1
NW_003571058.2	chr19_GL949750v2_alt
NW_003315913.1	chr3_GL383526v1_alt
KQ031386.1	chr3_KQ031386v1_fix
NT_187380.1	chr14_KI270725v1_random
HG1523_PATCH	ML143364.1
GL383519.1	NW_003315906.1
GJ212204.1	KI866539.1
KI270739.1	NT_187394.1
HG2155_PATCH	MU273350.1
GJ211906.2	KI270367.1
HSCHR9_1_CTG2	chr9_GL383540v1_alt
HSCHR18_ALT21_CTG2_1	KI270912.1
KI270518.1	NT_187429.1
HSCHR2_5_CTG7_2	chr2_KI270775v1_alt
HSCHR4_2_CTG4	KQ090013.1
JH159137.1	chr11_JH159137v1_alt
HSCHR7_1_CTG1	NT_187558.1
KI270376.1	chrUn_KI270376v1
KI270322.1	NT_187400.1
HSCHR19KIR_G085_BA1_HAP_CTG3_1	KI270884.1
GL383569.1	NW_003315958.1
GJ212126.2	NT_187324.1
NW_009646203.1	chr11_KN196481v1_fix
KI270473.1	NT_187242.1
HSCHRX_3_CTG7	chrX_KV766199v1_alt
ML143379.1	chr22_ML143379v1_fix
HG405_PATCH	chr16_MU273377v1_fix
GL383533.1	chr6_GL383533v1_alt
GL000124.2	NT_010393.17
CM000685.2	X
HSCHR7_1_CTG7	KI270805.1
HSCHR10_1_CTG4	NT_187580.1
HSCHR1_9_CTG3	chr1_KZ208905v1_alt
GL383541.1	HSCHR9_1_CTG3
GL000214.1	chrUn_GL000214v1
KI270468.1	chrUn_KI270468v1
HG721_PATCH	ML143341.1
KV766198.1	chr17_KV766198v1_alt
HSCHR11_2_CTG1_1	KI270903.1
HSCHR2_7_CTG7_2	KZ208907.1
HG2251_PATCH	NW_025791804.1
HSCHR11_1_CTG7	KI270831.1
NT_187459.1	chrUn_KI270329v1
GL000150.2	NT_029490.5
HSCHR11_1_CTG7	NT_187585.1
HG2499_PATCH	chr15_ML143369v1_fix
HG23_PATCH	KN196482.1
KI270924.1	chr3_KI270924v1_alt
NT_187457.1	chrUn_KI270591v1
KQ031387.1	chr6_KQ031387v1_fix
HG2217_PATCH	chr11_KN196481v1_fix
NW_021159992.1	chr4_ML143346v1_fix
HG2408_PATCH	MU273361.1
HSCHR14_3_CTG1	KI270846.1
HSCHRX_2_CTG12	NT_187635.1
KI270633.1	NT_187327.1
HSCHR8_5_CTG7	chr8_KI270819v1_alt
GL383520.2	chr1_GL383520v2_alt
HG2237_PATCH	KQ031386.1
HSCHR17_7_CTG4	KI270857.1
ML143376.1	NW_021160022.1
GL000143.2	NT_011362.11
NW_025791756.1	chr1_MU273333v1_fix
KZ208909.1	NW_018654711.1
NT_187429.1	chrUn_KI270518v1
HSCHR16_5_CTG1	KQ090026.1
KI270407.1	NT_187214.1
KI270755.1	NT_187510.1
KI270424.1	chrUn_KI270424v1
HG401_PATCH	NW_025791799.1
GL000221.1	NT_167215.1
GL949742.1	chr5_GL949742v1_alt
MU273336.1	chr1_MU273336v1_fix
HSCHR17_11_CTG4	chr17_KV766197v1_alt
ML143358.1	chr11_ML143358v1_fix
NT_187412.1	chrUn_KI270418v1
NT_187624.1	chr20_KI270870v1_alt
HSCHR19_4_CTG3_1	NT_187693.1
HG1343_HG173_HG459_PATCH	MU273333.1
HG563_PATCH	ML143351.1
18	NC_000018.10
HSCHR3_8_CTG2_1	chr3_KZ559102v1_alt
NW_015495301.1	chr4_KQ983258v1_alt
GL949749.2	HSCHR19LRC_LRC_J_CTG3_1
CM000685.2	NC_000023.11
KI270710.1	chr1_KI270710v1_random
NW_014040926.1	chr1_KQ458383v1_alt
KI270779.1	chr3_KI270779v1_alt
NT_113793.3	chr4_GL000008v2_random
HSCHR9_1_CTG7	NW_013171805.1
HG1309_PATCH	NW_021159998.1
KI270863.1	chr18_KI270863v1_alt
GJ211968.2	NT_187233.1
KZ559106.1	NW_019805493.1
HSCHR19_2_CTG2	chr19_GL383575v2_alt
NT_187607.1	chr16_KI270853v1_alt
CM000670.2	NC_000008.11
GJ212192.1	KI270704.1
KI270794.1	chr5_KI270794v1_alt
NT_187465.1	chrUn_KI270336v1
HSCHR2_7_CTG7_2	chr2_KZ208907v1_alt
HG705_PATCH	NW_021159995.1
KI270402.1	NT_187209.1
KI270765.1	chr1_KI270765v1_alt
KI270414.1	NT_187410.1
KI270906.1	chr15_KI270906v1_alt
KV880763.1	chr1_KV880763v1_alt
KZ208910.1	chr5_KZ208910v1_alt
KI270880.1	NT_187634.1
HG2244_HG2245_PATCH	NW_011332694.1
HSCHR19KIR_RP5_B_HAP_CTG3_1	chr19_GL000209v2_alt
KI270628.1	NT_187324.1
KI270852.1	NT_187602.1
HG2241_PATCH	KN538365.1
KI270704.1	NT_187359.1
KI270743.1	chrUn_KI270743v1
NT_187455.1	chrUn_KI270588v1
HSCHR6_MHC_COX_CTG1	NT_113891.3
HSCHR17_9_CTG4	KI270859.1
HSCHR7_4_CTG1	MU273358.1
GL383574.1	NW_003315963.1
HSCHR12_1_CTG2	NW_003315938.1
14	CM000676.2
KZ208921.1	chr16_KZ208921v1_alt
HSCHR17_2_CTG2	KI270862.1
KI270769.1	NT_187522.1
KI270371.1	NT_187494.1
KI270929.1	chr19_KI270929v1_alt
GL383549.1	HSCHR12_1_CTG2
KI270527.1	NT_187263.1
NW_025791807.1	chr19_MU273384v1_fix
ML143371.1	NW_021160017.1
GL383539.1	chr9_GL383539v1_alt
GL000145.1	NT_113952.1
KZ208907.1	chr2_KZ208907v1_alt
HG1509_PATCH	NW_021160030.1
HG2236_PATCH	NW_017363813.1
HSCHR19_2_CTG3_1	chr19_KI270866v1_alt
GJ211837.1	KI270301.1
HG2578_PATCH	chr11_MU273371v1_fix
NT_113888.1	chr14_GL000194v1_random
HSCHR11_2_CTG1	NT_187656.1
KI270416.1	NT_187219.1
GL000251.2	NT_113891.3
GJ211904.2	KI270365.1
KN196477.1	NW_009646199.1
